Type,Localisation,Price,City,Area,Rooms,Bedrooms,Bathrooms,Floor,Current_state,Age
Appartements,Racine ,2800000.0,Casablanca,126.0,4.0,3.0,2.0,2.0,Non Specifique,Non Specifique
Villas,Ain Diab Extension ,18000000.0,Casablanca,1426.0,10.0,6.0,6.0,0.0,Non Specifique,Non Specifique
Villas,Californie ,14000000.0,Casablanca,724.0,10.0,6.0,7.0,0.0,Non Specifique,Non Specifique
Appartements,Maârif Extension ,1750000.0,Casablanca,114.0,3.0,2.0,2.0,4.0,Non Specifique,Non Specifique
Villas,Ain Diab Extension ,8300000.0,Casablanca,478.0,8.0,5.0,5.0,0.0,Non Specifique,Non Specifique
Appartements,Palmier ,1900000.0,Casablanca,122.0,4.0,3.0,2.0,5.0,Non Specifique,Non Specifique
Appartements,Racine ,3600000.0,Casablanca,183.0,5.0,4.0,4.0,4.0,Non Specifique,Non Specifique
Appartements,Bourgogne Ouest ,590000.0,Casablanca,83.0,2.0,1.0,1.0,4.0,Non Specifique,Non Specifique
Appartements,Anassi ,650000.0,Casablanca,75.0,2.0,2.0,2.0,0.0,Non Specifique,Non Specifique
Appartements,Bourgogne Est ,1000000.0,Casablanca,47.0,2.0,1.0,1.0,3.0,Non Specifique,Non Specifique
Appartements,Gauthier ,2500000.0,Casablanca,176.0,4.0,3.0,2.0,3.0,Non Specifique,Non Specifique
Appartements,Californie ,2210800.0,Casablanca,123.0,3.0,2.0,0.0,0.0,Non Specifique,Non Specifique
Appartements,Californie ,2292450.0,Casablanca,125.0,4.0,3.0,0.0,2.0,Non Specifique,Non Specifique
Appartements,Californie ,2129100.0,Casablanca,137.0,3.0,2.0,0.0,3.0,Non Specifique,Non Specifique
Appartements,Californie ,2694800.0,Casablanca,148.0,4.0,3.0,0.0,2.0,Non Specifique,Non Specifique
Appartements,Californie ,2228400.0,Casablanca,124.0,3.0,2.0,0.0,0.0,Non Specifique,Non Specifique
Appartements,Californie ,2168180.0,Casablanca,138.0,3.0,2.0,0.0,3.0,Non Specifique,Non Specifique
Appartements,Californie ,2721750.0,Casablanca,145.0,4.0,3.0,0.0,1.0,Non Specifique,Non Specifique
Appartements,Californie ,2594400.0,Casablanca,144.0,4.0,3.0,0.0,1.0,Non Specifique,Non Specifique
Appartements,Palmier ,3700000.0,Casablanca,265.0,4.0,3.0,2.0,0.0,Non Specifique,Non Specifique
Appartements,Oasis ,2700000.0,Casablanca,128.0,4.0,3.0,2.0,0.0,Non Specifique,Non Specifique
Villas,Centre Ville ,15500000.0,Casablanca,890.0,0.0,4.0,2.0,0.0,Non Specifique,Non Specifique
Appartements,Oulfa ,861000.0,Casablanca,82.0,3.0,2.0,2.0,3.0,Non Specifique,Non Specifique
Appartements,Oulfa ,600000.0,Casablanca,75.0,3.0,2.0,2.0,2.0,Non Specifique,Non Specifique
Appartements,Les princesses ,2400000.0,Casablanca,158.0,4.0,3.0,3.0,4.0,Non Specifique,Non Specifique
Appartements,Racine ,6000000.0,Casablanca,266.0,7.0,4.0,4.0,3.0,Non Specifique,Non Specifique
Appartements,Les princesses ,2000000.0,Casablanca,138.0,4.0,3.0,2.0,4.0,Non Specifique,Non Specifique
Appartements,Les Hôpitaux ,2400000.0,Casablanca,151.0,5.0,3.0,2.0,5.0,Non Specifique,Non Specifique
Appartements,Triangle d'Or ,4800000.0,Casablanca,264.0,6.0,3.0,3.0,1.0,Non Specifique,Non Specifique
Appartements,Racine ,4200000.0,Casablanca,177.0,4.0,3.0,2.0,0.0,Non Specifique,Non Specifique
Villas,Anfa ,12808345.0,Casablanca,987.0,11.0,4.0,3.0,0.0,Non Specifique,Non Specifique
Villas,Oasis ,11600000.0,Casablanca,1058.0,12.0,6.0,4.0,0.0,Non Specifique,Non Specifique
