Type,Localisation,Title,Price,City,Area,Rooms,Bedrooms,Bathrooms,Floor,Other_tags,Current_state,Age
Appartements,Belvédère ,Vente appartement quartier BELVEDERE,1180000.0,Casablanca,102.0,4.0,2.0,2.0,,[],Non Specifique,Non Specifique
Appartements,Racine ,Appartement à vendre avec terrasse quartier Racine,3900000.0,Casablanca,217.0,6.0,3.0,2.0,,[],Non Specifique,Non Specifique
Villas,Californie ,Somptueuse maison à vendre à Californie. 4 grandes pièces. Piscine et air conditionné,35000000.0,Casablanca,2500.0,4.0,4.0,4.0,,[],Non Specifique,Non Specifique
Appartements,Racine ,"Appartement à vendre, Racine",2800000.0,Casablanca,126.0,4.0,3.0,2.0,2.0,[],Non Specifique,Non Specifique
Villas,Ain Diab Extension ,DV. 557: Villa de maitre avec piscine à Aïn Diab:,18000000.0,Casablanca,1426.0,10.0,6.0,6.0,,[],Non Specifique,Non Specifique
Villas,Californie ,DV. 420: Superbe Villa de 1134 m² à Californie:,14000000.0,Casablanca,724.0,10.0,6.0,7.0,,[],Non Specifique,Non Specifique
Appartements,Maârif Extension ,DV. 608: Bel Apt de 114 m² à Bir Anzarane:,1750000.0,Casablanca,114.0,3.0,2.0,2.0,4.0,[],Non Specifique,Non Specifique
Villas,Ain Diab Extension ,Superbe Villa avec piscine à Aïn Diab:,8300000.0,Casablanca,478.0,8.0,5.0,5.0,,[],Non Specifique,Non Specifique
Appartements,Palmier ,DV. 629: Superbe 3 Ch à Palmier:,1900000.0,Casablanca,122.0,4.0,3.0,2.0,5.0,[],Non Specifique,Non Specifique
Appartements,Racine ,DV. 674: Superbe 3 Ch à Racine:,3600000.0,Casablanca,183.0,5.0,4.0,4.0,4.0,[],Non Specifique,Non Specifique
Appartements,Bourgogne Ouest ,Appartement à vendre à Bourgogne Ouest. Surface de 83 m²,590000.0,Casablanca,83.0,2.0,1.0,1.0,4.0,[],Non Specifique,Non Specifique
Appartements,Anassi ,Vente d'un bel appartement à Anassi. 2 pièces confortables. Ascenseur et terrasse.,650000.0,Casablanca,75.0,2.0,2.0,2.0,,[],Non Specifique,Non Specifique
Appartements,Bourgogne Est ,Beau studio de haut standing à vendre Bourgoune,1000000.0,Casablanca,47.0,2.0,1.0,1.0,3.0,[],Non Specifique,Non Specifique
